1,128,100,1173
1,256,100,4577
1,512,100,18711
1,1024,100,74951
1,2048,100,310213
1,4096,100,1322241
1,8192,100,5191214
1,128,500,11083
1,256,500,42503
1,512,500,94243
1,1024,500,378615
1,2048,500,1595322
1,4096,500,6344511
1,8192,500,25933354
1,128,1000,22353
1,256,1000,76618
1,512,1000,191060
1,1024,1000,756881
1,2048,1000,3267602
1,4096,1000,12720262
1,8192,1000,51975174
1,128,5000,55471
1,256,5000,233505
1,512,5000,941618
1,1024,5000,3741343
1,2048,5000,15848441
1,4096,5000,63975239
1,8192,5000,258470337
1,128,10000,110395
1,256,10000,472264
1,512,10000,1861866
1,1024,10000,7540640
1,2048,10000,32151918
1,4096,10000,128488690
1,8192,10000,517156241
1,128,50000,596580
1,256,50000,2296180
1,512,50000,9349650
1,1024,50000,37789602
1,2048,50000,156783806
1,128,100,1877
1,256,100,8933
1,512,100,18411
1,1024,100,75696
1,2048,100,318375
1,4096,100,1253233
1,8192,100,5024863
1,128,500,11402
1,256,500,40163
1,512,500,93026
1,1024,500,372448
1,2048,500,1562271
1,4096,500,6241179
1,8192,500,25339708
1,128,1000,23380
1,256,1000,61409
1,512,1000,184856
1,1024,1000,744627
1,2048,1000,3130836
1,4096,1000,12491468
1,8192,1000,51099482
1,128,5000,78508
1,256,5000,227257
1,512,5000,924809
1,1024,5000,3739162
1,2048,5000,15529656
1,4096,5000,63388177
1,8192,5000,258264497
1,128,10000,109258
1,256,10000,472140
1,512,10000,1855598
1,1024,10000,7456145
1,2048,10000,31609473
1,4096,10000,125934321
1,8192,10000,513287514
1,128,50000,570658
1,256,50000,2274156
1,512,50000,9266546
1,1024,50000,37661297
1,2048,50000,157522074
1,128,100,2186
1,256,100,10034
1,512,100,18898
1,1024,100,75386
1,2048,100,314913
1,4096,100,1240347
1,8192,100,5206682
1,128,500,11007
1,256,500,38767
1,512,500,92370
1,1024,500,378220
1,2048,500,1549553
1,4096,500,6237366
1,8192,500,25599378
1,128,1000,11383
1,256,1000,46630
1,512,1000,188965
1,1024,1000,756181
1,2048,1000,3166213
1,4096,1000,12696768
1,8192,1000,51242195
1,128,5000,57932
1,256,5000,265142
1,512,5000,938251
1,1024,5000,3780025
1,2048,5000,15695448
1,4096,5000,62610499
1,8192,5000,257052507
1,128,10000,110924
1,256,10000,460313
1,512,10000,1838468
1,1024,10000,7452269
1,2048,10000,31153369
1,4096,10000,125952476
1,8192,10000,513557316
1,128,50000,548504
1,256,50000,2302402
1,512,50000,9232343
1,1024,50000,37463011
1,2048,50000,155554320
1,128,100,2291
1,256,100,9466
1,512,100,18467
1,1024,100,75072
1,2048,100,314067
1,4096,100,1297953
1,8192,100,5057832
1,128,500,11024
1,256,500,34284
1,512,500,103472
1,1024,500,373988
1,2048,500,1574179
1,4096,500,6298374
1,8192,500,25656095
1,128,1000,24401
1,256,1000,46182
1,512,1000,185156
1,1024,1000,755143
1,2048,1000,3139596
1,4096,1000,12656048
1,8192,1000,51520044
1,128,5000,77018
1,256,5000,243721
1,512,5000,945240
1,1024,5000,3726840
1,2048,5000,16047946
1,4096,5000,63055439
1,8192,5000,254948270
1,128,10000,133602
1,256,10000,459018
1,512,10000,1883408
1,1024,10000,7514782
1,2048,10000,31284780
1,4096,10000,128187768
1,8192,10000,511035364
1,128,50000,545942
1,256,50000,2316614
1,512,50000,9286073
1,1024,50000,37222013
1,2048,50000,156227620
1,128,100,2303
1,256,100,6990
1,512,100,18634
1,1024,100,75439
1,2048,100,315534
1,4096,100,1252356
1,8192,100,4988855
1,128,500,10725
1,256,500,40287
1,512,500,97917
1,1024,500,373432
1,2048,500,1543461
1,4096,500,6227415
1,8192,500,26071803
1,128,1000,24056
1,256,1000,61067
1,512,1000,184351
1,1024,1000,744141
1,2048,1000,3120286
1,4096,1000,12573310
1,8192,1000,50984471
1,128,5000,96566
1,256,5000,246069
1,512,5000,920318
1,1024,5000,3737235
1,2048,5000,15605368
1,4096,5000,62305178
1,8192,5000,256414948
1,128,10000,109510
1,256,10000,468531
1,512,10000,1851050
1,1024,10000,7542749
1,2048,10000,31530727
1,4096,10000,126024947
1,8192,10000,510997379
1,128,50000,583968
1,256,50000,2284255
1,512,50000,9232842
1,1024,50000,37402771
1,2048,50000,156776685
1,128,100,2201
1,256,100,10067
1,512,100,18424
1,1024,100,74757
1,2048,100,316656
1,4096,100,1263059
1,8192,100,5045266
1,128,500,10533
1,256,500,38982
1,512,500,92387
1,1024,500,376600
1,2048,500,1583911
1,4096,500,6219592
1,8192,500,25397744
1,128,1000,21446
1,256,1000,61868
1,512,1000,184668
1,1024,1000,752242
1,2048,1000,3125028
1,4096,1000,12509298
1,8192,1000,50248426
1,128,5000,93866
1,256,5000,243359
1,512,5000,930541
1,1024,5000,3728068
1,2048,5000,15725181
1,4096,5000,64443179
1,8192,5000,254981883
1,128,10000,136028
1,256,10000,457892
1,512,10000,1837726
1,1024,10000,7467361
1,2048,10000,30987077
1,4096,10000,126692049
1,8192,10000,510979614
1,128,50000,580687
1,256,50000,2277457
1,512,50000,9230424
1,1024,50000,37402566
1,2048,50000,155941227
1,128,100,1805
1,256,100,10205
1,512,100,18468
1,1024,100,73909
1,2048,100,309081
1,4096,100,1248394
1,8192,100,5075004
1,128,500,10701
1,256,500,43594
1,512,500,93034
1,1024,500,376615
1,2048,500,1551215
1,4096,500,6232327
1,8192,500,24969281
1,128,1000,10913
1,256,1000,64575
1,512,1000,184556
1,1024,1000,748446
1,2048,1000,3183657
1,4096,1000,12789749
1,8192,1000,50209802
1,128,5000,93499
1,256,5000,227031
1,512,5000,926638
1,1024,5000,3745076
1,2048,5000,15577564
1,4096,5000,63176863
1,8192,5000,255004256
1,128,10000,131968
1,256,10000,457614
1,512,10000,1843617
1,1024,10000,7557444
1,2048,10000,31406742
1,4096,10000,124611770
1,8192,10000,507857209
1,128,50000,585343
1,256,50000,2284251
1,512,50000,9264998
1,1024,50000,37208623
1,2048,50000,157819018
1,128,100,2141
1,256,100,9186
1,512,100,18450
1,1024,100,74266
1,2048,100,310181
1,4096,100,1326678
1,8192,100,5067377
1,128,500,9618
1,256,500,40220
1,512,500,91891
1,1024,500,374195
1,2048,500,1556377
1,4096,500,6527012
1,8192,500,25221121
1,128,1000,11009
1,256,1000,57437
1,512,1000,186127
1,1024,1000,744519
1,2048,1000,3118428
1,4096,1000,12406351
1,8192,1000,50880388
1,128,5000,76674
1,256,5000,226209
1,512,5000,920171
1,1024,5000,3714839
1,2048,5000,15680005
1,4096,5000,62216565
1,8192,5000,251345794
1,128,10000,131092
1,256,10000,470423
1,512,10000,1850299
1,1024,10000,7423678
1,2048,10000,31390586
1,4096,10000,124996326
1,8192,10000,507681409
1,128,50000,585551
1,256,50000,2284807
1,512,50000,9214691
1,1024,50000,37306753
1,2048,50000,155121409
1,128,100,2293
1,256,100,4518
1,512,100,18457
1,1024,100,77166
1,2048,100,312513
1,4096,100,1238112
1,8192,100,4997745
1,128,500,5488
1,256,500,23795
1,512,500,92276
1,1024,500,371840
1,2048,500,1552823
1,4096,500,6237058
1,8192,500,25319073
1,128,1000,21455
1,256,1000,45337
1,512,1000,185321
1,1024,1000,745702
1,2048,1000,3098836
1,4096,1000,12395183
1,8192,1000,50442581
1,128,5000,93095
1,256,5000,232596
1,512,5000,932671
1,1024,5000,3723116
1,2048,5000,15551918
1,4096,5000,62422295
1,8192,5000,254788349
1,128,10000,147235
1,256,10000,466836
1,512,10000,1852414
1,1024,10000,7466860
1,2048,10000,31269658
1,4096,10000,125696000
1,8192,10000,500507495
1,128,50000,583272
1,256,50000,2293018
1,512,50000,9236728
1,1024,50000,37361545
1,2048,50000,155414424
1,128,100,2141
1,256,100,8953
1,512,100,25148
1,1024,100,74440
1,2048,100,308495
1,4096,100,1269344
1,8192,100,5001648
1,128,500,10727
1,256,500,39191
1,512,500,92563
1,1024,500,373661
1,2048,500,1553867
1,4096,500,6223820
1,8192,500,25321683
1,128,1000,21988
1,256,1000,63030
1,512,1000,184531
1,1024,1000,743913
1,2048,1000,3118631
1,4096,1000,12610398
1,8192,1000,50710489
1,128,5000,77032
1,256,5000,244292
1,512,5000,924536
1,1024,5000,3731374
1,2048,5000,15567457
1,4096,5000,63897934
1,8192,5000,256165694
1,128,10000,127301
1,256,10000,475216
1,512,10000,1871046
1,1024,10000,7463729
1,2048,10000,30892879
1,4096,10000,124402471
1,8192,10000,509630107
1,128,50000,565667
1,256,50000,2282883
1,512,50000,9232993
1,1024,50000,37276949
1,2048,50000,155578180
