schedule,n_threads,n_systems,n_steps,time
static-0,2,64,1000,10216696
static-0,2,128,1000,18918189
static-0,2,256,1000,34587706
static-0,2,512,1000,61343620
static-0,2,1024,1000,121781269
static-0,2,64,100,1024719
static-0,2,128,100,1928189
static-0,2,256,100,3478549
static-0,2,512,100,6142766
static-0,2,1024,100,12338414
static-0,2,64,500,5130735
static-0,2,128,500,9411526
static-0,2,256,500,17315318
static-0,2,512,500,30676375
static-0,2,1024,500,61031744
static-0,2,64,1000,10227217
static-0,2,128,1000,18719905
static-0,2,256,1000,34769429
static-0,2,512,1000,61324490
static-0,2,1024,1000,122721656
static-0,2,64,100,1015202
static-0,2,128,100,1896454
static-0,2,256,100,3455666
static-0,2,512,100,6182735
static-0,2,1024,100,12181569
static-0,2,64,500,5107226
static-0,2,128,500,9425032
static-0,2,256,500,17267769
static-0,2,512,500,30565288
static-0,2,1024,500,60860394
static-0,2,64,1000,10151477
static-0,2,128,1000,18934727
static-0,2,256,1000,34502013
static-0,2,512,1000,61380894
static-0,2,1024,1000,122361287
static-0,2,64,100,1019250
static-0,2,128,100,1918864
static-0,2,256,100,3510394
static-0,2,512,100,6139984
static-0,2,1024,100,12279852
static-0,2,64,500,5109939
static-0,2,128,500,9438678
static-0,2,256,500,17302993
static-0,2,512,500,30574949
static-0,2,1024,500,61136008
static-0,2,64,1000,10161508
static-0,2,128,1000,18787121
static-0,2,256,1000,34530754
static-0,2,512,1000,61771041
static-0,2,1024,1000,122792618
static-0,2,64,100,1015364
static-0,2,128,100,1903106
static-0,2,256,100,3497850
static-0,2,512,100,6197658
static-0,2,1024,100,12247921
static-0,2,64,500,5072337
static-0,2,128,500,9423960
static-0,2,256,500,17310337
static-0,2,512,500,30695491
static-0,2,1024,500,61180598
static-0,2,64,1000,10221619
static-0,2,128,1000,18803118
static-0,2,256,1000,34570853
static-0,2,512,1000,61366988
static-0,2,1024,1000,122135419
static-0,2,64,100,1018320
static-0,2,128,100,1906461
static-0,2,256,100,3472002
static-0,2,512,100,6172489
static-0,2,1024,100,12264621
static-0,2,64,500,5076361
static-0,2,128,500,9446422
static-0,2,256,500,17272799
static-0,2,512,500,30748976
static-0,2,1024,500,61414130
static-0,2,64,1000,10220245
static-0,2,128,1000,18786736
static-0,2,256,1000,34675898
static-0,2,512,1000,61514251
static-0,2,1024,1000,123022986
static-0,2,64,100,1016858
static-0,2,128,100,1908648
static-0,2,256,100,3456972
static-0,2,512,100,6151243
static-0,2,1024,100,12259569
static-0,2,64,500,5086634
static-0,2,128,500,9372940
static-0,2,256,500,17281712
static-0,2,512,500,30874182
static-0,2,1024,500,61170738
static-0,2,64,1000,10240227
static-0,2,128,1000,18908275
static-0,2,256,1000,34787577
static-0,2,512,1000,61357847
static-0,2,1024,1000,122760206
static-0,2,64,100,1023385
static-0,2,128,100,1922928
static-0,2,256,100,3485788
static-0,2,512,100,6173073
static-0,2,1024,100,12245095
static-0,2,64,500,5097069
static-0,2,128,500,9487238
static-0,2,256,500,17287284
static-0,2,512,500,30709749
static-0,2,1024,500,61139209
static-0,2,64,1000,10233662
static-0,2,128,1000,18939452
static-0,2,256,1000,34566909
static-0,2,512,1000,61790567
static-0,2,1024,1000,123204035
static-0,2,64,100,1021963
static-0,2,128,100,1908642
static-0,2,256,100,3512238
static-0,2,512,100,6160271
static-0,2,1024,100,12237642
static-0,2,64,500,5088352
static-0,2,128,500,9425107
static-0,2,256,500,17413613
static-0,2,512,500,30710108
static-0,2,1024,500,61165571
static-0,2,64,1000,10142472
static-0,2,128,1000,18853247
static-0,2,256,1000,34349019
static-0,2,512,1000,61371477
static-0,2,1024,1000,122364318
static-0,2,64,100,1015404
static-0,2,128,100,1917311
static-0,2,256,100,3458939
static-0,2,512,100,6158549
static-0,2,1024,100,12266058
static-0,2,64,500,5085596
static-0,2,128,500,9420633
static-0,2,256,500,17290322
static-0,2,512,500,30891200
static-0,2,1024,500,61537789
static-0,2,64,1000,10178156
static-0,2,128,1000,18804628
static-0,2,256,1000,34720968
static-0,2,512,1000,61697641
static-0,2,1024,1000,122523654
static-0,4,64,100,531078
static-0,4,128,100,1141564
static-0,4,256,100,1924659
static-0,4,512,100,3310323
static-0,4,1024,100,6332338
static-0,4,64,500,2672742
static-0,4,128,500,5597637
static-0,4,256,500,9581950
static-0,4,512,500,16329208
static-0,4,1024,500,31666429
static-0,4,64,1000,5320366
static-0,4,128,1000,11158025
static-0,4,256,1000,19129686
static-0,4,512,1000,32592608
static-0,4,1024,1000,63039406
static-0,4,64,100,552759
static-0,4,128,100,1139175
static-0,4,256,100,1930451
static-0,4,512,100,3299187
static-0,4,1024,100,6335984
static-0,4,64,500,2670174
static-0,4,128,500,5526864
static-0,4,256,500,9518868
static-0,4,512,500,16384551
static-0,4,1024,500,31587394
static-0,4,64,1000,5329613
static-0,4,128,1000,11069224
static-0,4,256,1000,19103512
static-0,4,512,1000,32803204
static-0,4,1024,1000,63236574
static-0,4,64,100,556226
static-0,4,128,100,1137724
static-0,4,256,100,1934871
static-0,4,512,100,3318220
static-0,4,1024,100,6355986
static-0,4,64,500,2657085
static-0,4,128,500,5547728
static-0,4,256,500,9548024
static-0,4,512,500,16395308
static-0,4,1024,500,31564955
static-0,4,64,1000,5291190
static-0,4,128,1000,11095626
static-0,4,256,1000,19140708
static-0,4,512,1000,32941670
static-0,4,1024,1000,63317268
static-0,4,64,100,552994
static-0,4,128,100,1136515
static-0,4,256,100,1950623
static-0,4,512,100,3300203
static-0,4,1024,100,6357659
static-0,4,64,500,2648685
static-0,4,128,500,5560478
static-0,4,256,500,9582528
static-0,4,512,500,16287835
static-0,4,1024,500,31641560
static-0,4,64,1000,5320731
static-0,4,128,1000,11171297
static-0,4,256,1000,19101374
static-0,4,512,1000,32762681
static-0,4,1024,1000,63341944
static-0,4,64,100,555149
static-0,4,128,100,1129965
static-0,4,256,100,1940354
static-0,4,512,100,3293327
static-0,4,1024,100,6361825
static-0,4,64,500,2672878
static-0,4,128,500,5560686
static-0,4,256,500,9580479
static-0,4,512,500,16422183
static-0,4,1024,500,31691878
static-0,4,64,1000,5332101
static-0,4,128,1000,11200534
static-0,4,256,1000,19150652
static-0,4,512,1000,32884092
static-0,4,1024,1000,63543371
static-0,4,64,100,553730
static-0,4,128,100,1143113
static-0,4,256,100,1948894
static-0,4,512,100,3281345
static-0,4,1024,100,6346780
static-0,4,64,500,2661260
static-0,4,128,500,5569310
static-0,4,256,500,9550496
static-0,4,512,500,16460108
static-0,4,1024,500,31693414
static-0,4,64,1000,5307718
static-0,4,128,1000,11168307
static-0,4,256,1000,19067690
static-0,4,512,1000,32975012
static-0,4,1024,1000,63673893
static-0,4,64,100,533544
static-0,4,128,100,1125044
static-0,4,256,100,1927565
static-0,4,512,100,3294571
static-0,4,1024,100,6383678
static-0,4,64,500,2651506
static-0,4,128,500,5627469
static-0,4,256,500,9624339
static-0,4,512,500,16558673
static-0,4,1024,500,31758201
static-0,4,64,1000,5336989
static-0,4,128,1000,11185881
static-0,4,256,1000,19245101
static-0,4,512,1000,32966161
static-0,4,1024,1000,63734286
static-0,4,64,100,558146
static-0,4,128,100,1133029
static-0,4,256,100,1949613
static-0,4,512,100,3309002
static-0,4,1024,100,6361646
static-0,4,64,500,2689364
static-0,4,128,500,5600034
static-0,4,256,500,9661368
static-0,4,512,500,16501690
static-0,4,1024,500,31824359
static-0,4,64,1000,5346747
static-0,4,128,1000,11183848
static-0,4,256,1000,19120123
static-0,4,512,1000,33009002
static-0,4,1024,1000,63602053
static-0,4,64,100,528245
static-0,4,128,100,1142517
static-0,4,256,100,1957864
static-0,4,512,100,3351707
static-0,4,1024,100,6381521
static-0,4,64,500,2678222
static-0,4,128,500,5585646
static-0,4,256,500,9657438
static-0,4,512,500,16481252
static-0,4,1024,500,31560164
static-0,4,64,1000,5349629
static-0,4,128,1000,11112799
static-0,4,256,1000,19218087
static-0,4,512,1000,32743650
static-0,4,1024,1000,63325735
static-0,4,64,100,559766
static-0,4,128,100,1139607
static-0,4,256,100,1943950
static-0,4,512,100,3330140
static-0,4,1024,100,6394159
static-0,4,64,500,2683118
static-0,4,128,500,5627163
static-0,4,256,500,9568037
static-0,4,512,500,16525911
