schedule,n_threads,n_systems,n_steps,time
guided-1,2,1024,1000,121214490
guided-1,2,64,100,1024249
guided-1,2,128,100,1573576
guided-1,2,256,100,3237405
guided-1,2,512,100,6074006
guided-1,2,1024,100,12135714
guided-1,2,64,500,5118369
guided-1,2,128,500,7842232
guided-1,2,256,500,16022021
guided-1,2,512,500,30104927
guided-1,2,1024,500,60635144
guided-1,2,64,1000,10141945
guided-1,2,128,1000,15749128
guided-1,2,256,1000,32283677
guided-1,2,512,1000,60445629
guided-1,2,1024,1000,121166873
guided-1,2,64,100,1015849
guided-1,2,128,100,1578184
guided-1,2,256,100,3229556
guided-1,2,512,100,6042851
guided-1,2,1024,100,12225591
guided-1,2,64,500,5087727
guided-1,2,128,500,7828748
guided-1,2,256,500,16038255
guided-1,2,512,500,30141225
guided-1,2,1024,500,60646259
guided-1,2,64,1000,10156702
guided-1,2,128,1000,15662774
guided-1,2,256,1000,32107062
guided-1,2,512,1000,60186491
guided-1,2,1024,1000,120873809
guided-1,2,64,100,1015651
guided-1,2,128,100,1566031
guided-1,2,256,100,3263503
guided-1,2,512,100,6065609
guided-1,2,1024,100,12161971
guided-1,2,64,500,5105519
guided-1,2,128,500,7829167
guided-1,2,256,500,16053935
guided-1,2,512,500,30073508
guided-1,2,1024,500,60657244
guided-1,2,64,1000,10163978
guided-1,2,128,1000,15661735
guided-1,2,256,1000,32256775
guided-1,2,512,1000,60208128
guided-1,2,1024,1000,121206614
guided-1,2,64,100,1019060
guided-1,2,128,100,1578063
guided-1,2,256,100,3228222
guided-1,2,512,100,6018338
guided-1,2,1024,100,12076355
guided-1,2,64,500,5089623
guided-1,2,128,500,7880062
guided-1,2,256,500,16068524
guided-1,2,512,500,30112172
guided-1,2,1024,500,60783171
guided-1,2,64,1000,10216185
guided-1,2,128,1000,15661887
guided-1,2,256,1000,32267152
guided-1,2,512,1000,60215518
guided-1,2,1024,1000,121111515
guided-1,2,64,100,1017077
guided-1,2,128,100,1627647
guided-1,2,256,100,3251261
guided-1,2,512,100,6022066
guided-1,2,1024,100,12130683
guided-1,2,64,500,5081658
guided-1,2,128,500,7888239
guided-1,2,256,500,16040459
guided-1,2,512,500,30122841
guided-1,2,1024,500,60696394
guided-1,2,64,1000,10180242
guided-1,2,128,1000,15661809
guided-1,2,256,1000,32207220
guided-1,2,512,1000,60393069
guided-1,2,1024,1000,121297977
guided-1,2,64,100,1015749
guided-1,2,128,100,1574457
guided-1,2,256,100,3229745
guided-1,2,512,100,6031038
guided-1,2,1024,100,12117972
guided-1,2,64,500,5120862
guided-1,2,128,500,7833975
guided-1,2,256,500,16026950
guided-1,2,512,500,30322026
guided-1,2,1024,500,60594089
guided-1,2,64,1000,10156852
guided-1,2,128,1000,15755614
guided-1,2,256,1000,31886483
guided-1,2,512,1000,60628110
guided-1,2,1024,1000,122003486
guided-1,2,64,100,1016104
guided-1,2,128,100,1573337
guided-1,2,256,100,3233475
guided-1,2,512,100,6066249
guided-1,2,1024,100,12167783
guided-1,2,64,500,5114173
guided-1,2,128,500,7825028
guided-1,2,256,500,15960450
guided-1,2,512,500,30117882
guided-1,2,1024,500,60626367
guided-1,2,64,1000,10162726
guided-1,2,128,1000,15651085
guided-1,2,256,1000,32151699
guided-1,2,512,1000,60580330
guided-1,2,1024,1000,121409602
guided-1,2,64,100,1015376
guided-1,2,128,100,1585333
guided-1,2,256,100,3223791
guided-1,2,512,100,6017081
guided-1,2,1024,100,12120054
guided-1,2,64,500,5099851
guided-1,2,128,500,7817471
guided-1,2,256,500,16069624
guided-1,2,512,500,30290794
guided-1,2,1024,500,60611917
guided-1,2,64,1000,10159975
guided-1,2,128,1000,15656898
guided-1,2,256,1000,32082396
guided-1,2,512,1000,60258124
guided-1,2,1024,1000,122059803
guided-1,4,64,100,507449
guided-1,4,128,100,828041
guided-1,4,256,100,1667664
guided-1,4,512,100,3120355
guided-1,4,1024,100,6234090
guided-1,4,64,500,2513736
guided-1,4,128,500,4076549
guided-1,4,256,500,8292179
guided-1,4,512,500,15567688
guided-1,4,1024,500,30932322
guided-1,4,64,1000,5110326
guided-1,4,128,1000,8127283
guided-1,4,256,1000,16600547
guided-1,4,512,1000,30909613
guided-1,4,1024,1000,62122551
guided-1,4,64,100,1447067
guided-1,4,128,100,829153
guided-1,4,256,100,1658812
guided-1,4,512,100,3130057
guided-1,4,1024,100,6226372
guided-1,4,64,500,2542038
guided-1,4,128,500,4068877
guided-1,4,256,500,8261233
guided-1,4,512,500,15505288
guided-1,4,1024,500,30880136
guided-1,4,64,1000,5063294
guided-1,4,128,1000,8144924
guided-1,4,256,1000,16512068
guided-1,4,512,1000,30976976
guided-1,4,1024,1000,61981993
guided-1,4,64,100,514261
guided-1,4,128,100,831384
guided-1,4,256,100,1676433
guided-1,4,512,100,3116853
guided-1,4,1024,100,6195155
guided-1,4,64,500,2533476
