n_threads,matrix_size,n_steps,time
1,2048,1000,2984011
1,4096,1000,12020648
1,8192,1000,48283973
1,128,5000,71916
1,256,5000,224685
1,512,5000,872444
1,1024,5000,3566238
1,2048,5000,14958898
1,4096,5000,60220835
1,8192,5000,243225999
1,128,10000,116266
1,256,10000,425388
1,512,10000,1734229
1,1024,10000,7139590
1,2048,10000,29906153
1,4096,10000,120066665
1,8192,10000,484272528
1,128,50000,488309
1,256,50000,2105106
1,512,50000,8644282
1,1024,50000,35642490
1,2048,50000,149327588
1,128,100,1848
1,256,100,8407
1,512,100,23559
1,1024,100,70857
1,2048,100,297284
1,4096,100,1192841
1,8192,100,4907430
1,128,500,9139
1,256,500,37805
1,512,500,87485
1,1024,500,357310
1,2048,500,1491778
1,4096,500,5997780
1,8192,500,24195980
1,128,1000,9314
1,256,1000,58508
1,512,1000,174683
1,1024,1000,710033
1,2048,1000,2992127
1,4096,1000,12050728
1,8192,1000,48443250
1,128,5000,68836
1,256,5000,230410
1,512,5000,885989
1,1024,5000,3568279
1,2048,5000,14949577
1,4096,5000,60131343
1,8192,5000,243375094
1,128,10000,116281
1,256,10000,432710
1,512,10000,1741964
1,1024,10000,7129641
1,2048,10000,29983451
1,4096,10000,119951237
1,8192,10000,484397357
1,128,50000,490255
1,256,50000,2094869
1,512,50000,8642940
1,1024,50000,35481247
1,2048,50000,149348581
1,128,100,1870
1,256,100,4209
1,512,100,17669
1,1024,100,71325
1,2048,100,298483
1,4096,100,1197672
1,8192,100,4828834
1,128,500,10661
1,256,500,44628
1,512,500,98024
1,1024,500,357303
1,2048,500,1488962
1,4096,500,5984781
1,8192,500,24014586
1,128,1000,18638
1,256,1000,58245
1,512,1000,186019
1,1024,1000,713077
1,2048,1000,2982218
1,4096,1000,11998228
1,8192,1000,48275923
1,128,5000,59035
1,256,5000,223875
1,512,5000,871495
1,1024,5000,3538835
1,2048,5000,14979482
1,4096,5000,60032033
1,8192,5000,242250569
1,128,10000,114498
1,256,10000,446353
1,512,10000,1751332
1,1024,10000,7133472
1,2048,10000,29826550
1,4096,10000,120041813
1,8192,10000,483726518
1,128,50000,489740
1,256,50000,2083235
1,512,50000,8703900
1,1024,50000,35559939
1,2048,50000,149457006
2,128,100,1327
2,256,100,4792
2,512,100,17446
2,1024,100,59923
2,2048,100,155636
2,4096,100,627883
2,8192,100,2514558
2,128,500,6419
2,256,500,23690
2,512,500,69610
2,1024,500,190656
2,2048,500,768084
2,4096,500,3050777
2,8192,500,12388577
2,128,1000,12958
2,256,1000,38042
2,512,1000,115807
2,1024,1000,386012
2,2048,1000,1492311
2,4096,1000,6054963
2,8192,1000,24696217
2,128,5000,55503
2,256,5000,134076
2,512,5000,466659
2,1024,5000,1827698
2,2048,5000,7483553
2,4096,5000,30488681
2,8192,5000,122934369
2,128,10000,97752
2,256,10000,251333
2,512,10000,918601
2,1024,10000,3627960
2,2048,10000,14976965
2,4096,10000,60976885
2,8192,10000,245234094
2,128,50000,393227
2,256,50000,1205948
2,512,50000,4553710
2,1024,50000,18103513
2,2048,50000,74467052
2,128,100,1092
2,256,100,4637
2,512,100,11586
2,1024,100,61858
2,2048,100,175704
2,4096,100,626265
2,8192,100,2470740
2,128,500,5746
2,256,500,21844
2,512,500,69459
2,1024,500,204786
2,2048,500,770803
2,4096,500,3067295
2,8192,500,12268737
2,128,1000,12169
2,256,1000,45560
2,512,1000,117608
2,1024,1000,388464
2,2048,1000,1509363
2,4096,1000,6061304
2,8192,1000,24583766
2,128,5000,58627
2,256,5000,141818
2,512,5000,484134
2,1024,5000,1842773
2,2048,5000,7472732
2,4096,5000,30443755
2,8192,5000,122351149
2,128,10000,88028
2,256,10000,248830
2,512,10000,920701
2,1024,10000,3635060
