,signature_size,model_ratio,accuracy
0,0,0.0,0.8738999962806702
1,2667,0.0020408163265306124,0.828000009059906
2,5334,0.004081632653061225,0.7876999974250793
3,8001,0.006122448979591837,0.31540000438690186
4,10668,0.00816326530612245,0.40959998965263367
5,13335,0.010204081632653062,0.2957000136375427
6,16003,0.012244897959183675,0.3434999883174896
7,18670,0.014285714285714287,0.24770000576972961
8,21337,0.0163265306122449,0.2011999934911728
9,24004,0.018367346938775512,0.24799999594688416
10,26671,0.020408163265306124,0.20589999854564667
11,29339,0.022448979591836737,0.1914999932050705
12,32006,0.02448979591836735,0.10509999841451645
13,34673,0.02653061224489796,0.16329999268054962
14,37340,0.028571428571428574,0.1257999986410141
15,40007,0.030612244897959186,0.14720000326633453
16,42675,0.0326530612244898,0.10450000315904617
17,45342,0.03469387755102041,0.15410000085830688
18,48009,0.036734693877551024,0.16580000519752502
19,50676,0.03877551020408164,0.24879999458789825
20,53343,0.04081632653061225,0.19210000336170197
21,56010,0.04285714285714286,0.13379999995231628
22,58678,0.04489795918367347,0.14300000667572021
23,61345,0.04693877551020409,0.10869999974966049
24,64012,0.0489795918367347,0.1005999967455864
25,66679,0.05102040816326531,0.1485999971628189
26,69346,0.05306122448979592,0.11580000072717667
27,72014,0.05510204081632654,0.09910000115633011
28,74681,0.05714285714285715,0.10980000346899033
29,77348,0.05918367346938776,0.10260000079870224
30,80015,0.06122448979591837,0.10949999839067459
31,82682,0.06326530612244899,0.11289999634027481
32,85350,0.0653061224489796,0.11249999701976776
33,88017,0.0673469387755102,0.12639999389648438
34,90684,0.06938775510204082,0.10689999908208847
35,93351,0.07142857142857144,0.1525000035762787
36,96018,0.07346938775510205,0.1168999969959259
37,98685,0.07551020408163266,0.10750000178813934
38,101353,0.07755102040816328,0.11339999735355377
39,104020,0.07959183673469389,0.10639999806880951
40,106687,0.0816326530612245,0.10450000315904617
41,109354,0.0836734693877551,0.12039999663829803
42,112021,0.08571428571428572,0.1039000004529953
43,114689,0.08775510204081634,0.10109999775886536
44,117356,0.08979591836734695,0.09440000355243683
45,120023,0.09183673469387756,0.09239999949932098
46,122690,0.09387755102040818,0.12680000066757202
47,125357,0.09591836734693879,0.10379999876022339
48,128025,0.0979591836734694,0.10490000247955322
49,130692,0.1,0.09390000253915787
