,loss,accuracy,f1_score,val_loss,val_accuracy,val_f1_score
0,3.8090790185928345,0.13582000136375427,0.12934766282485619,2.4353685665130613,0.1446000039577484,0.08154471389801105
1,2.6841761741638184,0.180759996175766,0.17053505942676123,2.6586128759384153,0.1298000067472458,0.06835978098359097
2,2.348328903675079,0.2277200073003769,0.214734275901099,2.5939729619026184,0.15139999985694885,0.10045002270291711
3,2.133260904788971,0.2734200060367584,0.25991290452096694,2.4062624645233153,0.18389999866485596,0.1403282207799971
4,1.9760684337615966,0.3174799978733063,0.30328101692384724,2.2189737010002135,0.2517000138759613,0.22374380014323922
5,1.831729659795761,0.3587400019168854,0.34436002648183717,1.8716373109817506,0.34869998693466187,0.3462457177714746
6,1.7016833734512329,0.396479994058609,0.3820195064254052,1.880262610912323,0.36390000581741333,0.3626210356201043
7,1.5837418694496155,0.44113999605178833,0.4259717513568397,1.611325294971466,0.4406999945640564,0.42621954978085136
8,1.4806883885860442,0.4810599982738495,0.4672072622287606,1.7567271554470063,0.398499995470047,0.39929807590366045
9,1.364581026315689,0.5100799798965454,0.4951226758895491,1.4556198954582213,0.48399999737739563,0.4738858661760915
10,1.2787841678857803,0.5461199879646301,0.5313552076226945,1.5291457331180573,0.48919999599456787,0.4875988506504897
11,1.2016655087471009,0.5718600153923035,0.558750002410623,1.2607214027643203,0.5521000027656555,0.543545222052475
12,1.1504181345701219,0.5909600257873535,0.57880768170026,1.252686207294464,0.5515000224113464,0.5453155870322793
13,1.1054000598192215,0.6058200001716614,0.5925183848105187,1.0944771027565003,0.6121000051498413,0.5966560744125889
14,1.052339480280876,0.6286600232124329,0.6167729137298326,1.048179606795311,0.6277999877929688,0.6260930810153761
15,1.010053631544113,0.6440600156784058,0.6322928325524942,1.0011196613311768,0.6434999704360962,0.62912255748625
16,0.9799529033899307,0.6560400128364563,0.6450449266468611,1.1264212065935135,0.6115999817848206,0.6075328321452198
17,0.9422217818498612,0.670799970626831,0.660114437300666,1.0454015511274337,0.6376000046730042,0.633557873733229
18,0.9127015135288239,0.6782600283622742,0.6679863936818592,0.8950198185443878,0.6909999847412109,0.6844840957322833
19,0.8721050479412079,0.6955000162124634,0.6853720968874356,0.8280512088537216,0.7041000127792358,0.698542787165824
20,0.8514869102239608,0.7014600038528442,0.691482040142698,0.9164767408370972,0.682699978351593,0.6734551224145897
21,0.8188207739591599,0.7140200138092041,0.7041665999896215,0.7346386107802391,0.7409999966621399,0.731179237806078
22,0.802545655488968,0.721340000629425,0.7114094182845465,0.8903711903095245,0.6942999958992004,0.6814440857092359
23,0.77619594424963,0.7296199798583984,0.7209868310620163,0.7924229639768601,0.7249000072479248,0.7207113670063794
24,0.7578455475568772,0.7379599809646606,0.727962756835785,0.7687603062391282,0.734499990940094,0.7274471800401912
25,0.7358026510477066,0.7473800182342529,0.7389575376150531,0.6789419841766358,0.7660999894142151,0.7551318655337812
26,0.7207000114321709,0.7511199712753296,0.7416453197692136,0.7643950152397155,0.7390000224113464,0.7304225286480195
27,0.7009338828921318,0.7605400085449219,0.752181749363779,0.6693100246787071,0.7721999883651733,0.7631283060629199
28,0.6913259570598602,0.7609599828720093,0.7522037808267584,0.7350322160124779,0.7486000061035156,0.7352622360467979
29,0.6749767084121704,0.7674000263214111,0.7588017939529422,0.6661344695091248,0.7760000228881836,0.7667377973480872
30,0.6639601928591728,0.7725399732589722,0.7642970315928157,0.6496695572137833,0.7767000198364258,0.7644940558418228
31,0.647277415215969,0.7769200205802917,0.7676799048478685,0.6447295561432839,0.7828999757766724,0.7731212819930134
32,0.6408604945540428,0.7812399864196777,0.7722353845305315,0.6269970518350602,0.7878000140190125,0.7786638232149252
33,0.6265293059945106,0.7849199771881104,0.7763605599358917,0.922362454533577,0.7013000249862671,0.6814925311215804
34,0.6194045757055282,0.7862200140953064,0.7777582462006849,0.6257658979296684,0.7864000201225281,0.78010164546385
35,0.6003349211215973,0.7962999939918518,0.7885746202609443,0.6801289370656014,0.7760999798774719,0.760933812318946
36,0.5963606479167938,0.794979989528656,0.7870015563388013,0.6183318629860878,0.7914000153541565,0.7801209072709508
37,0.5813625627756118,0.8005399703979492,0.793255359704893,0.6195226457715034,0.7936999797821045,0.7822080523082423
38,0.5707838025689125,0.8050600290298462,0.796899100283129,0.5761860370635986,0.8051000237464905,0.7913348551018864
39,0.5632053653001785,0.8069800138473511,0.7995174473440493,0.5631060767173767,0.8083000183105469,0.8002885368293868
40,0.5504238447546959,0.8093199729919434,0.8012736096353567,0.5755630850791931,0.8087000250816345,0.7950176626179768
41,0.5419698051214218,0.8163999915122986,0.8090091264243938,0.6243032121658325,0.7955999970436096,0.780638755159144
42,0.5418336335420608,0.8145400285720825,0.8071968455155255,0.5559524294734001,0.8137999773025513,0.804648838581691
43,0.5289414830207825,0.819379985332489,0.8118686944898756,0.5193413770198823,0.8241000175476074,0.8143309395183718
44,0.5215693546533584,0.8210200071334839,0.8135474585452325,0.572793153822422,0.8101999759674072,0.8010387416218622
45,0.5164963961839676,0.8233000040054321,0.8157830643928102,0.5372013239562512,0.8215000033378601,0.8113635189546075
46,0.5153614656925202,0.8230599761009216,0.8159404920615565,0.5619088305532932,0.8181999921798706,0.8047364085871976
47,0.5056536183655262,0.828220009803772,0.820525392479343,0.5056019577383996,0.8274000287055969,0.8179750745694558
48,0.49914143842458725,0.8270800113677979,0.8189717100128497,0.5516469587385654,0.8170999884605408,0.8046187174370497
49,0.4915755614042282,0.8332800269126892,0.8257884634815545,0.5757455402612686,0.8076000213623047,0.7985569244300986
